CustomerKey,CustomerAlternateKey,Title,FirstName,MiddleName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,Education,Occupation,AddressLine1,AddressLine2,Phone,DateFirstPurchase
30062,AW00029427,NULL,Wesley,J,Chen,1980-02-08,S,M,wesley2@adventure-works.com,Partial High School,Manual,"40, rue des Rosiers",NULL,1 (11) 500 555-0124,2013-05-17
30061,AW00029426,NULL,Neil,NULL,Gomez,1980-03-31,S,M,neil2@adventure-works.com,Partial High School,Manual,"21, impasse Ste-Madeleine",NULL,1 (11) 500 555-0117,2013-10-12
30060,AW00029425,NULL,Tommy,J,Xie,1980-01-23,S,M,tommy1@adventure-works.com,Partial High School,Manual,6473 Clay Way,NULL,1 (11) 500 555-0128,2013-02-04
30059,AW00029424,NULL,Erik,NULL,Gill,1980-02-02,M,M,erik14@adventure-works.com,Partial High School,Manual,Postfach 66 11 66,NULL,1 (11) 500 555-0169,2013-06-24
30058,AW00029423,NULL,Tony,W,Luo,1981-12-06,S,M,tony9@adventure-works.com,High School,Manual,"705, boulevard du Montparnasse",NULL,1 (11) 500 555-0135,2013-11-22
30057,AW00029422,NULL,Ian,C,Adams,1982-02-16,S,M,ian30@adventure-works.com,High School,Manual,7963 Elk Dr,#4,1 (11) 500 555-0151,2013-10-14
30056,AW00029421,NULL,Blake,NULL,Williams,1981-08-18,S,M,blake1@adventure-works.com,High School,Manual,"211bis, rue des Peupliers",NULL,1 (11) 500 555-0154,2013-12-02
30055,AW00029420,NULL,Linda,NULL,Travers,1981-07-12,M,F,linda27@adventure-works.com,High School,Manual,"80, avenue des Champs-Elysées",NULL,1 (11) 500 555-0169,2013-09-16
30054,AW00029419,NULL,Carrie,NULL,Vazquez,1982-05-23,S,F,carrie13@adventure-works.com,High School,Manual,"570, rue de Fontfroide",NULL,1 (11) 500 555-0177,2013-10-07
30053,AW00029418,NULL,Lindsey,NULL,Sharma,1981-04-19,S,F,lindsey10@adventure-works.com,High School,Manual,Zollstr 680,Verkaufsabteilung,1 (11) 500 555-0134,2013-12-22
30052,AW00029417,NULL,Kellie,B,Vazquez,1980-08-29,M,F,kellie13@adventure-works.com,Partial High School,Manual,Heideweg 6457,NULL,1 (11) 500 555-0183,2013-07-10
30051,AW00029416,NULL,Pedro,P,Ramos,1981-02-09,S,M,pedro38@adventure-works.com,Partial High School,Manual,9640 Alderwood Lane,NULL,1 (11) 500 555-0153,2013-07-14
30050,AW00029415,NULL,Oscar,L,Flores,1983-03-25,S,M,oscar20@adventure-works.com,Partial College,Clerical,"816, avenue des Champs-Elysées",NULL,1 (11) 500 555-0112,2012-08-02
30049,AW00029414,NULL,Lydia,B,Patel,1984-02-22,S,F,lydia2@adventure-works.com,Partial College,Clerical,"87, rue de la Comédie",NULL,1 (11) 500 555-0191,2012-08-20
30048,AW00029413,NULL,Arthur,T,Garcia,1984-03-06,M,M,arthur17@adventure-works.com,Partial College,Clerical,"9, avenue du Président-Kennedy",NULL,1 (11) 500 555-0179,2013-12-14
30047,AW00029412,NULL,Melinda,K,Gutierrez,1973-09-14,M,F,melinda6@adventure-works.com,Bachelors,Skilled Manual,"555, quai Paul Doumer",NULL,1 (11) 500 555-0155,2012-08-09
30046,AW00029411,NULL,Cara,NULL,Lin,1974-10-13,M,F,cara4@adventure-works.com,Bachelors,Skilled Manual,8568 Rolando Ave.,NULL,1 (11) 500 555-0182,2013-02-14
30045,AW00029410,NULL,Lucas,W,Price,1984-08-20,S,M,lucas49@adventure-works.com,Partial College,Clerical,Buergermeister-ulrich-str 44,NULL,1 (11) 500 555-0191,2011-05-28
30044,AW00029409,NULL,Kelsey,NULL,Pal,1985-04-21,S,F,kelsey12@adventure-works.com,Partial College,Clerical,Holzstr 4222,NULL,1 (11) 500 555-0194,2013-04-12
30043,AW00029408,NULL,Heather,M,Chen,1985-02-20,M,F,heather2@adventure-works.com,High School,Manual,"135, boulevard du Montparnasse",NULL,1 (11) 500 555-0149,2013-07-31
30042,AW00029407,Ms.,Samantha,NULL,Smith,1981-11-08,M,F,samantha1@adventure-works.com,High School,Manual,9021 Onley Dr,NULL,978-555-0100,2013-06-27
30041,AW00029406,NULL,Melissa,A,Ward,1982-03-25,M,F,melissa34@adventure-works.com,Partial High School,Manual,Kapellstr 4561,NULL,1 (11) 500 555-0122,2013-08-01
30040,AW00029405,NULL,Meagan,F,Vance,1983-06-22,S,F,meagan4@adventure-works.com,High School,Manual,"622, rue Villedo",NULL,1 (11) 500 555-0139,2013-08-13
30039,AW00029404,NULL,Chloe,L,Ross,1974-05-02,S,F,chloe70@adventure-works.com,Partial College,Clerical,"9402, rue Lauriston",NULL,1 (11) 500 555-0184,2012-08-05
30038,AW00029403,NULL,Erik,R,Romero,1970-01-02,M,M,erik9@adventure-works.com,Bachelors,Skilled Manual,Krönerweg 7677,NULL,1 (11) 500 555-0130,2011-05-24
30037,AW00029402,NULL,Damien,K,Andersen,1969-10-19,S,M,damien29@adventure-works.com,Partial College,Clerical,"2, rue de Maubeuge",NULL,1 (11) 500 555-0154,2013-10-01
30036,AW00029401,NULL,Jésus,NULL,Gomez,1976-10-28,M,M,jésus2@adventure-works.com,Bachelors,Skilled Manual,6288 Augustine Dr.,NULL,1 (11) 500 555-0114,2013-01-22
30035,AW00029400,NULL,Marvin,NULL,Browning,1976-10-20,M,M,marvin16@adventure-works.com,Bachelors,Skilled Manual,Buergermeister-ulrich-str 098,NULL,1 (11) 500 555-0155,2011-05-06
30034,AW00029399,NULL,Janet,NULL,Gomez,1976-01-31,S,F,janet6@adventure-works.com,Bachelors,Professional,Unter Linden 942,NULL,1 (11) 500 555-0196,2011-04-10
30033,AW00029398,NULL,Bruce,G,Suri,1971-01-17,S,M,bruce0@adventure-works.com,Bachelors,Professional,Hansaallee 5989,NULL,1 (11) 500 555-0179,2011-04-12
30032,AW00029397,NULL,Walter,E,Ramos,1976-05-10,M,M,walter10@adventure-works.com,Partial College,Clerical,"2408, rue Maillard",NULL,1 (11) 500 555-0143,2012-08-08
30031,AW00029396,NULL,Arturo,S,Zeng,1939-11-29,M,M,arturo24@adventure-works.com,Bachelors,Skilled Manual,Kurfürstenstr 5054,NULL,1 (11) 500 555-0188,2013-05-06
30030,AW00029395,NULL,Lydia,NULL,Rana,1939-10-06,S,F,lydia10@adventure-works.com,Partial College,Clerical,"182, avenue des Laurentides",NULL,1 (11) 500 555-0182,2013-12-05
30029,AW00029394,NULL,Raquel,NULL,Torres,1973-11-01,S,F,raquel8@adventure-works.com,Partial College,Clerical,Postenweg 3138,NULL,1 (11) 500 555-0123,2013-03-22
30028,AW00029393,NULL,Sheena,NULL,Rai,1969-05-12,S,F,sheena16@adventure-works.com,Partial College,Clerical,"66, rue de Fontfroide",NULL,1 (11) 500 555-0114,2013-01-29
30027,AW00029392,NULL,Tamara,B,Andersen,1971-12-15,M,F,tamara24@adventure-works.com,Bachelors,Professional,5047 Northwood Dr.,NULL,1 (11) 500 555-0133,2013-12-08
30026,AW00029391,NULL,Ebony,NULL,Chandra,1972-04-12,S,F,ebony1@adventure-works.com,Bachelors,Professional,Potsdamer Straße 539,NULL,1 (11) 500 555-0154,2011-04-30
30025,AW00029390,NULL,Summer,S,Rodriguez,1971-11-11,S,F,summer17@adventure-works.com,Bachelors,Professional,"159, avenue du Québec",NULL,1 (11) 500 555-0111,2012-08-02
30024,AW00029389,NULL,Thomas,P,Phillips,1971-08-18,M,M,thomas43@adventure-works.com,Bachelors,Professional,"387, chaussée de Tournai",NULL,1 (11) 500 555-0110,2012-07-30
30023,AW00029388,NULL,Calvin,L,Kumar,1977-04-19,M,M,calvin8@adventure-works.com,Bachelors,Professional,"14, place Beaubernard",NULL,1 (11) 500 555-0133,2012-07-19
30022,AW00029387,NULL,Jenny,W,Cai,1944-11-29,S,F,jenny23@adventure-works.com,High School,Manual,"5, rue de Courtaboeuf",NULL,1 (11) 500 555-0145,2013-06-12
30021,AW00029386,NULL,Franklin,S,Wang,1948-11-03,S,M,franklin1@adventure-works.com,Partial College,Manual,1946 Bayside Way,NULL,1 (11) 500 555-0168,2013-03-14
30020,AW00029385,NULL,Don,A,Lal,1968-09-01,S,M,don8@adventure-works.com,High School,Manual,Werftstr 566,NULL,1 (11) 500 555-0172,2011-01-19
30019,AW00029384,NULL,Latasha,NULL,Sanz,1968-11-29,M,F,latasha20@adventure-works.com,Partial High School,Manual,1233 Vista Bonita,NULL,1 (11) 500 555-0192,2013-06-14
30018,AW00029383,NULL,Kaitlin,NULL,Vance,1968-12-13,S,F,kaitlin4@adventure-works.com,Partial High School,Manual,8435 Kenmore,B105,1 (11) 500 555-0113,2013-09-01
30017,AW00029382,NULL,Karla,C,Deng,1970-03-13,M,F,karla1@adventure-works.com,High School,Manual,6469 Apple Drive,NULL,1 (11) 500 555-0149,2013-05-30
30016,AW00029381,NULL,Melvin,M,Shen,1969-11-06,M,M,melvin2@adventure-works.com,High School,Manual,Lindenalle 800,NULL,1 (11) 500 555-0174,2013-12-23
30015,AW00029380,NULL,Teresa,NULL,Blanco,1970-04-14,M,F,teresa16@adventure-works.com,High School,Manual,"70, place de la République",NULL,1 (11) 500 555-0114,2012-07-25
30014,AW00029379,NULL,Craig,R,Gill,1976-05-09,M,M,craig13@adventure-works.com,Bachelors,Skilled Manual,"75, avenue de la Gare",NULL,1 (11) 500 555-0135,2013-04-25
30013,AW00029378,NULL,Dominic,NULL,Vance,1970-08-13,M,M,dominic5@adventure-works.com,Bachelors,Skilled Manual,"432, avenue de l´ Union Centrale",NULL,1 (11) 500 555-0123,2013-11-11
30012,AW00029377,NULL,Rebekah,NULL,Carlson,1971-02-24,M,F,rebekah38@adventure-works.com,Bachelors,Skilled Manual,1869 Pine Hallow Rd.,NULL,1 (11) 500 555-0154,2013-07-14
30011,AW00029376,NULL,Matthew,D,Robinson,1971-03-09,S,M,matthew23@adventure-works.com,High School,Manual,4523 Via Cortez,NULL,1 (11) 500 555-0117,2013-08-01
30010,AW00029375,NULL,Sergio,A,Malhotra,1971-03-06,M,M,sergio5@adventure-works.com,High School,Manual,Erlenweg 9294,NULL,1 (11) 500 555-0148,2013-12-25
30009,AW00029374,NULL,Shane,R,Sai,1970-11-18,M,M,shane9@adventure-works.com,High School,Manual,Lieblingsweg 333,NULL,1 (11) 500 555-0138,2013-12-02
30008,AW00029373,NULL,Bobby,J,Subram,1972-01-22,M,M,bobby9@adventure-works.com,Bachelors,Skilled Manual,4051 Sun View Terrace,NULL,1 (11) 500 555-0118,2013-05-10
30007,AW00029372,NULL,Daisy,NULL,Sanz,1972-03-31,M,F,daisy15@adventure-works.com,Bachelors,Skilled Manual,"44, quai de Grenelle",NULL,1 (11) 500 555-0166,2013-06-22
30006,AW00029371,NULL,Matthew,NULL,Walker,1972-06-12,M,M,matthew27@adventure-works.com,High School,Manual,Auf der Krone 75,NULL,1 (11) 500 555-0178,2013-10-31
30005,AW00029370,NULL,Mason,M,Kelly,1933-04-16,S,M,mason4@adventure-works.com,Bachelors,Clerical,Zeiter Weg 9563,NULL,1 (11) 500 555-0173,2013-10-01
30004,AW00029369,NULL,Arturo,NULL,He,1984-03-19,S,M,arturo20@adventure-works.com,Bachelors,Professional,6353 Dan Ysidro Court,NULL,1 (11) 500 555-0133,2013-12-13
30003,AW00029368,NULL,Jermaine,A,Kapoor,1972-12-09,S,M,jermaine0@adventure-works.com,Bachelors,Professional,8947 Rio Grande Drive,NULL,1 (11) 500 555-0117,2013-11-06
30002,AW00029367,NULL,Randy,G,Ye,1983-09-06,S,M,randy11@adventure-works.com,Bachelors,Professional,5417 N Jackson Way,NULL,1 (11) 500 555-0166,2013-11-21
30001,AW00029366,NULL,Dominic,NULL,Patel,1973-01-07,S,M,dominic4@adventure-works.com,Bachelors,Professional,7334 Sterling Hill,NULL,1 (11) 500 555-0163,2013-11-20
30000,AW00029365,NULL,Cheryl,M,Carlson,1971-07-07,S,F,cheryl21@adventure-works.com,High School,Manual,Helsenbergbogen 6,NULL,1 (11) 500 555-0161,2013-11-01
29999,AW00029364,NULL,Lee,NULL,Rubio,1971-09-21,M,M,lee19@adventure-works.com,Partial High School,Manual,"32, rue des Grands Champs",NULL,1 (11) 500 555-0129,2012-07-23
29998,AW00029363,NULL,Cristina,R,Jai,1973-06-23,S,F,cristina11@adventure-works.com,Partial College,Manual,Postfach 22 99 99,NULL,1 (11) 500 555-0191,2013-11-04
29997,AW00029362,NULL,Emmanuel,E,Chandra,1973-03-25,S,M,emmanuel2@adventure-works.com,Partial College,Manual,Kalkweg 4435,NULL,1 (11) 500 555-0143,2013-11-11
29996,AW00029361,NULL,Sheena,NULL,Nara,1972-11-30,S,F,sheena15@adventure-works.com,Partial College,Manual,"33, rue Georges-Clémenceau",NULL,1 (11) 500 555-0114,2012-07-07
29995,AW00029360,NULL,Bryant,R,Rodriguez,1979-09-06,S,M,bryant18@adventure-works.com,Bachelors,Professional,7008 Mines Road,NULL,1 (11) 500 555-0151,2013-11-02
29994,AW00029359,NULL,Harold,C,Fernandez,1974-05-20,M,M,harold13@adventure-works.com,Graduate Degree,Clerical,1105 N. 48th St,NULL,1 (11) 500 555-0125,2013-11-13
29993,AW00029358,NULL,Priscilla,NULL,Chande,1974-01-29,M,F,priscilla13@adventure-works.com,Graduate Degree,Clerical,3639 Blackridge Drive,NULL,1 (11) 500 555-0179,2013-10-31
29992,AW00029357,NULL,Richard,M,Brown,1979-05-05,S,M,richard44@adventure-works.com,Graduate Degree,Clerical,7867 F Mt Hood Circle,NULL,1 (11) 500 555-0182,2013-10-03
29991,AW00029356,NULL,Casey,S,Diaz,1974-01-30,M,M,casey26@adventure-works.com,Graduate Degree,Clerical,Postfach 99 92 92,NULL,1 (11) 500 555-0111,2013-01-04
29990,AW00029355,NULL,Virginia,NULL,Fernandez,1974-05-03,M,F,virginia18@adventure-works.com,Graduate Degree,Clerical,Krönerweg 9679,Einkaufsabteilung,1 (11) 500 555-0116,2012-12-31
29989,AW00029354,NULL,Isaiah,B,Edwards,1971-03-11,S,M,isaiah23@adventure-works.com,Graduate Degree,Professional,3694 Sun View Court,NULL,727-555-0161,2011-08-23
29988,AW00029353,NULL,Orlando,NULL,Gomez,1982-02-10,M,M,orlando2@adventure-works.com,Bachelors,Skilled Manual,414 Joseph Ave,NULL,828-555-0125,2013-09-01
29987,AW00029352,NULL,Lydia,C,Gonzalez,1971-02-08,S,F,lydia17@adventure-works.com,Bachelors,Skilled Manual,6984 Wardlow Lane,# 116,959-555-0196,2011-08-08
29986,AW00029351,NULL,Jason,A,Hall,1970-12-24,S,M,jason49@adventure-works.com,Bachelors,Skilled Manual,8618 Rose Street,NULL,158-555-0156,2013-10-11
29985,AW00029350,NULL,Julia,NULL,Thompson,1971-05-09,S,F,julia37@adventure-works.com,Bachelors,Skilled Manual,1774 Tice Valley Blvd.,NULL,120-555-0111,2011-08-15
29984,AW00029349,NULL,Gabrielle,NULL,Bryant,1976-09-30,S,F,gabrielle40@adventure-works.com,Bachelors,Skilled Manual,25 La Jolla,NULL,202-555-0116,2013-07-25
29983,AW00029348,NULL,Miguel,NULL,Bryant,1971-01-12,M,M,miguel64@adventure-works.com,Bachelors,Skilled Manual,261 Oak Park Blvd.,NULL,716-555-0159,2013-08-23
29982,AW00029347,NULL,Jonathan,NULL,Edwards,1976-08-11,M,M,jonathan31@adventure-works.com,Bachelors,Professional,7932 Hope Drive,NULL,703-555-0127,2013-02-26
29981,AW00029346,NULL,Briana,L,Ortega,1948-01-09,S,F,briana18@adventure-works.com,Graduate Degree,Management,7995 Edwards Ave.,NULL,1 (11) 500 555-0116,2013-11-29
29980,AW00029345,NULL,Randall,T,Diaz,1958-08-22,S,M,randall4@adventure-works.com,Bachelors,Management,8446 San Gabriel,NULL,1 (11) 500 555-0156,2013-12-27
29979,AW00029344,NULL,Gilbert,NULL,Ye,1948-05-09,S,M,gilbert7@adventure-works.com,Bachelors,Management,2775 Delta View Ln.,#9,1 (11) 500 555-0115,2013-12-26
29978,AW00029343,NULL,Glenn,R,Wu,1945-10-12,M,M,glenn7@adventure-works.com,Bachelors,Management,5934 Warmcastle Ct.,NULL,1 (11) 500 555-0127,2013-12-19
29977,AW00029342,NULL,Cassie,M,Anand,1946-02-17,M,F,cassie20@adventure-works.com,Partial College,Clerical,2474 Banbury Ct,NULL,1 (11) 500 555-0123,2013-08-11
29976,AW00029341,NULL,Lucas,J,Stewart,1984-12-29,S,M,lucas92@adventure-works.com,Partial High School,Clerical,3272 Ryan Court,NULL,432-555-0130,2013-09-07
29975,AW00029340,NULL,Rachel,J,Cox,1985-04-03,S,F,rachel39@adventure-works.com,Partial High School,Clerical,9576 Pepperidge Place,NULL,610-555-0146,2011-08-26
29974,AW00029339,NULL,Brandon,NULL,Li,1985-04-10,S,M,brandon23@adventure-works.com,Partial High School,Clerical,6365 Sun View Way,NULL,286-555-0116,2013-12-23
29973,AW00029338,NULL,Bridget,NULL,Shan,1944-02-18,M,F,bridget12@adventure-works.com,Bachelors,Management,7929 Blocking Ct.,NULL,1 (11) 500 555-0160,2013-07-24
